Meine liebe Alice, |liebe Alice, 
ich bedanke mich vom Herzen |ich bedanke mich aufrichtig 
für den |für Deinen 
erfreulichen |sehr willkommenen 
Lieferungsvertrag. |Auftrag. 
Ich möchte Dich |Ich möchte Deine Firma 
vertraulich |
aufmerksam machen, dass wir |aufmerksam machen, dass unsere Ingenieure 
etwas Herausragendes |etwas Sensationelles 
in den Köchern |in den Reagenzgläsern 
haben|halten
: SunShineForever. Du kannst Dir plastisch |: SunShineForever. Du kannst Dir 
denken |vorstellen 
was dahinten |was darin 
steckt! Du wirst die einzige |steckt! Du wirst die erste 
sein, eine grosse |sein, eine ansehnliche 
Menge |Anzahl 
Fläschen |Muster 
kostenlos |gratis 
zu kriegen. |zu erhalten. 
Ich bitte Dich die Summe |Ich bitte Dich den Betrag 
von 100.000.- Schweizer Franken |von 100.000.- CHF 
auf das Konto mit der |auf das Konto 
Nr. 202-1201.262.10 von der |Nr. 202-1201.262.10 der 
Bank ABC AG, in |Bank ABC AG, 4001 
Basel CH |Basel 
zu überweisen.Ich hoffe |zu überweisen.Ich freue mich 
Dir geholfen |Dir gedient 
zu haben und schliesse ich |zu haben und verbleibe ich 
mit lieben |freundlichen 
Grüssen. Dein |Grüssen. 
Bob, Geschäftsführer|Bob, CEO
